Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As
"23.12.2017, 15:00",Jastrzębski Węgiel,Stocznia Szczecin,2,3,73,100,8,17,"1,60",88,4,30,32,36%,10,11%,107,10,15,52,49%,13,"2,60",79,107,4,19,"0,80",83,8,8,51,61%,24,28%,120,7,13,60,50%,15,"3,00"
"23.12.2017, 17:00",Asseco Resovia Rzeszów,MKS Będzin,3,0,50,74,8,12,"2,67",42,5,12,20,47%,8,19%,61,5,3,33,54%,9,"3,00",37,58,2,16,"0,67",61,10,15,33,54%,12,19%,68,7,9,32,47%,3,"1,00"
"22.12.2017, 18:00",Indykpol AZS Olsztyn,GKS Katowice,3,2,75,108,3,14,"0,60",84,3,17,47,55%,21,25%,125,9,9,58,46%,14,"2,80",80,106,3,22,"0,60",94,3,19,52,55%,20,21%,134,8,14,68,51%,9,"1,80"
"20.12.2017, 18:00",Cuprum Lubin,ONICO Warszawa,0,3,47,72,3,12,"1,00",64,2,20,28,43%,9,14%,89,4,8,38,43%,6,"2,00",61,78,2,14,"0,67",60,3,19,30,50%,15,25%,96,8,6,51,53%,8,"2,67"
"22.12.2017, 18:00",Cerrad Czarni Radom,Łuczniczka Bydgoszcz,3,1,68,97,11,19,"2,75",57,4,13,31,54%,13,22%,88,7,6,48,55%,9,"2,25",43,71,4,14,"1,00",78,11,28,31,39%,13,16%,88,13,9,33,38%,6,"1,50"
"13.12.2017, 18:00",Łuczniczka Bydgoszcz,Trefl Gdańsk,0,3,31,52,2,6,"0,67",60,7,10,34,56%,14,23%,66,8,15,25,38%,4,"1,33",57,73,7,13,"2,33",46,2,13,24,52%,11,23%,58,4,4,35,60%,15,"5,00"
"30.12.2017, 18:00",ONICO Warszawa,Cerrad Czarni Radom,3,1,76,106,8,17,"2,00",73,5,12,47,64%,16,21%,116,5,7,54,47%,14,"3,50",70,95,5,22,"1,25",89,8,20,41,46%,22,24%,116,4,14,58,50%,7,"1,75"
"17.12.2017, 15:00",GKS Katowice,Cuprum Lubin,1,3,67,85,5,19,"1,25",84,4,9,48,57%,35,41%,105,9,6,52,50%,10,"2,50",60,92,4,8,"1,00",66,5,6,27,40%,16,24%,115,9,10,50,43%,6,"1,50"
"30.12.2017, 18:00",MKS Będzin,Indykpol AZS Olsztyn,3,1,65,96,3,14,"0,75",75,5,13,37,49%,18,24%,103,12,7,52,50%,10,"2,50",62,92,5,16,"1,25",81,3,23,33,40%,12,14%,113,13,10,50,44%,7,"1,75"
"29.12.2017, 18:00",Stocznia Szczecin,Asseco Resovia Rzeszów,0,3,48,70,4,15,"1,33",65,3,17,29,44%,19,29%,95,8,13,36,38%,8,"2,67",56,78,3,13,"1,00",55,4,21,18,32%,9,16%,80,3,8,39,49%,14,"4,67"
"30.12.2017, 17:00",Dafi Społem Kielce,Jastrzębski Węgiel,0,3,47,60,2,6,"0,67",63,4,21,30,47%,12,19%,76,11,5,39,51%,6,"2,00",55,73,4,10,"1,33",54,2,17,25,46%,10,18%,75,1,6,46,61%,5,"1,67"
"18.12.2017, 18:00",BBTS Bielsko-Biała,Aluron Virtu Warta Zawiercie,2,3,75,113,4,16,"0,80",89,6,32,43,48%,24,26%,137,10,14,56,41%,15,"3,00",87,113,6,24,"1,20",97,4,41,48,49%,33,34%,142,10,15,67,47%,14,"2,80"
"30.12.2017, 14:45",ZAKSA Kędzierzyn-Koźle,PGE Skra Bełchatów,3,1,57,94,9,13,"2,25",64,7,14,36,56%,18,28%,86,6,10,42,49%,6,"1,50",67,87,7,23,"1,75",81,9,25,33,40%,12,14%,95,12,6,50,53%,10,"2,50"
"05.01.2018, 18:00",Trefl Gdańsk,PGE Skra Bełchatów,1,3,72,99,5,19,"1,25",86,4,26,32,37%,17,19%,116,8,10,55,47%,12,"3,00",76,103,4,17,"1,00",80,5,16,44,55%,22,27%,112,8,12,62,55%,10,"2,50"
"06.01.2018, 17:00",ZAKSA Kędzierzyn-Koźle,Aluron Virtu Warta Zawiercie,3,1,67,97,5,16,"1,25",68,12,17,28,41%,12,17%,96,5,8,52,54%,10,"2,50",67,90,12,22,"3,00",81,5,28,37,45%,18,22%,104,8,10,47,45%,8,"2,00"
"06.01.2018, 17:00",BBTS Bielsko-Biała,Jastrzębski Węgiel,2,3,77,101,6,16,"1,20",95,2,40,41,43%,21,22%,130,8,12,60,46%,11,"2,20",76,104,2,9,"0,40",85,6,32,43,50%,28,32%,134,14,11,62,46%,12,"2,40"
"06.01.2018, 14:45",Dafi Społem Kielce,Asseco Resovia Rzeszów,3,1,78,103,4,15,"1,00",87,12,27,33,37%,17,19%,112,7,6,57,51%,17,"4,25",72,102,12,15,"3,00",88,4,20,46,52%,29,32%,125,10,17,54,43%,6,"1,50"
"07.01.2018, 20:00",Stocznia Szczecin,Indykpol AZS Olsztyn,0,3,38,57,5,12,"1,67",63,8,12,32,50%,16,25%,81,8,7,28,35%,5,"1,67",54,73,8,10,"2,67",45,5,11,18,40%,5,11%,89,6,5,39,44%,7,"2,33"
"06.01.2018, 18:00",MKS Będzin,Cuprum Lubin,1,3,66,79,5,13,"1,25",88,5,20,41,46%,17,19%,109,13,11,52,48%,9,"2,25",65,94,5,6,"1,25",66,5,13,30,45%,15,22%,91,5,9,49,54%,11,"2,75"
"06.01.2018, 17:00",GKS Katowice,Cerrad Czarni Radom,3,1,72,95,5,19,"1,25",75,7,11,38,50%,27,36%,104,3,6,60,58%,7,"1,75",62,87,7,12,"1,75",76,5,10,42,55%,33,43%,104,10,7,49,47%,6,"1,50"
"06.01.2018, 14:45",ONICO Warszawa,Łuczniczka Bydgoszcz,3,2,85,109,9,18,"1,80",74,9,20,34,45%,15,20%,102,5,3,66,65%,10,"2,00",68,94,9,20,"1,80",91,9,28,36,39%,11,12%,111,3,10,56,50%,3,"0,60"
"13.01.2018, 20:00",ONICO Warszawa,Trefl Gdańsk,3,0,52,74,3,14,"1,00",36,3,11,19,52%,10,27%,70,1,5,34,49%,15,"5,00",37,53,3,17,"1,00",60,3,18,24,40%,13,21%,85,4,15,29,34%,5,"1,67"
"13.01.2018, 16:00",Łuczniczka Bydgoszcz,GKS Katowice,3,1,64,94,6,10,"1,50",71,6,15,31,43%,20,28%,107,14,8,48,45%,10,"2,50",54,84,6,13,"1,50",84,6,16,37,44%,23,27%,111,12,10,40,36%,8,"2,00"
