Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As
"01.10.2022, 14:45",Indykpol AZS Olsztyn,Grupa Azoty ZAKSA Kędzierzyn-Koźle,1,3,60,17,11,79,18,6,-13%,85,10,51%,25%,100,7,14,47,47%,26%,7,11,69,30,38,96,11,10,2%,61,6,45%,26%,88,7,7,45,51%,35%,14,11
"30.09.2022, 17:30",Jastrzębski Węgiel,GKS Katowice,3,0,51,17,27,77,15,4,-7%,54,4,55%,16%,88,4,1,43,48%,43%,4,8,48,16,16,70,16,4,-11%,62,4,50%,20%,91,8,4,43,47%,34%,1,17
"01.10.2022, 20:30",LUK  Lublin,Cerrad Enea Czarni Radom,2,3,76,23,35,109,16,3,-9%,85,9,49%,21%,115,6,10,63,54%,40%,10,9,82,23,40,104,19,9,-5%,93,3,47%,18%,128,10,10,63,49%,33%,10,13
"02.10.2022, 14:45",Aluron CMC Warta Zawiercie,PGE Skra Bełchatów,3,2,66,16,22,98,21,5,-16%,80,8,35%,12%,92,8,7,52,56%,40%,9,11,71,21,25,103,23,8,-8%,77,5,32%,9%,102,9,9,56,54%,37%,7,14
"03.10.2022, 17:30",BBTS Bielsko-Biała,Cuprum Lubin,1,3,63,22,17,100,19,7,-7%,77,12,40%,23%,97,5,10,48,49%,34%,8,10,80,30,32,103,26,12,-8%,81,7,45%,22%,109,7,8,58,53%,39%,10,10
"02.10.2022, 20:30",PSG Stal Nysa,Ślepsk Malow Suwałki,3,1,68,23,29,100,22,7,-12%,74,8,31%,10%,105,5,4,56,53%,44%,5,9,62,19,21,93,19,8,-7%,78,7,42%,14%,102,10,5,50,49%,34%,4,2
"02.10.2022, 17:30",Trefl Gdańsk,Barkom Każany Lwów,3,0,59,22,33,73,16,6,-6%,47,0,46%,21%,83,2,8,50,60%,48%,3,10,38,8,14,58,11,0,-17%,57,6,36%,17%,71,4,3,30,42%,32%,8,5
"01.10.2022, 17:30",Asseco Resovia Rzeszów,Projekt Warszawa,3,0,52,23,25,74,14,6,-8%,40,1,50%,22%,69,7,5,36,52%,34%,10,8,32,3,-4,54,14,1,-20%,60,6,36%,18%,75,6,10,26,34%,13%,5,5
"04.10.2022, 16:30",GKS Katowice,Projekt Warszawa,3,1,67,26,30,94,18,8,-6%,67,4,44%,25%,105,7,8,54,51%,37%,5,18,55,17,15,83,16,4,-6%,76,8,47%,26%,95,11,5,43,45%,28%,8,11
"05.10.2022, 18:45",Barkom Każany Lwów,Asseco Resovia Rzeszów,0,3,40,15,9,60,11,4,-1%,59,6,28%,10%,71,8,6,33,46%,26%,3,6,52,20,28,73,14,6,-6%,49,4,38%,24%,62,3,3,40,64%,54%,6,4
"06.10.2022, 21:00",Ślepsk Malow Suwałki,Trefl Gdańsk,3,1,68,15,32,99,19,2,-14%,83,5,48%,20%,111,3,9,54,48%,37%,12,8,78,23,35,102,19,5,-6%,79,2,64%,26%,125,10,12,64,51%,33%,9,5
"06.10.2022, 18:45",Cuprum Lubin,PSG Stal Nysa,0,3,35,8,0,50,11,3,-16%,62,10,38%,9%,71,5,9,27,38%,18%,5,6,58,29,36,74,11,10,2%,39,3,53%,12%,66,3,5,39,59%,46%,9,9
"05.10.2022, 21:00",PGE Skra Bełchatów,BBTS Bielsko-Biała,3,0,52,18,36,74,7,2,-2%,46,3,54%,28%,69,2,4,40,57%,49%,10,6,49,11,16,59,13,3,-13%,67,2,46%,13%,88,8,10,42,47%,27%,4,6
"05.10.2022, 16:30",Cerrad Enea Czarni Radom,Aluron CMC Warta Zawiercie,0,3,45,12,13,58,10,2,-12%,65,4,30%,15%,82,4,14,33,40%,18%,10,2,61,28,38,73,8,4,1%,48,2,50%,35%,92,3,10,43,46%,32%,14,6
"04.10.2022, 21:00",Grupa Azoty ZAKSA Kędzierzyn-Koźle,LUK  Lublin,3,0,59,23,37,73,9,3,-5%,53,4,43%,32%,76,5,4,45,59%,47%,11,7,45,12,16,61,8,4,-3%,64,3,56%,28%,88,7,11,37,42%,21%,4,3
"04.10.2022, 18:45",Jastrzębski Węgiel,Indykpol AZS Olsztyn,3,1,73,27,28,102,20,9,-7%,74,14,41%,21%,95,5,6,58,61%,49%,6,12,68,24,25,94,20,14,-6%,82,9,35%,15%,90,8,6,48,53%,37%,6,9
"08.10.2022, 17:30",Indykpol AZS Olsztyn,GKS Katowice,3,0,61,25,38,77,12,10,1%,56,6,44%,17%,75,4,1,43,57%,50%,8,10,47,14,13,67,11,6,-4%,65,10,35%,15%,80,5,8,40,50%,33%,1,5
"07.10.2022, 20:30",LUK  Lublin,Jastrzębski Węgiel,1,3,66,24,23,85,19,6,-10%,83,8,40%,20%,104,9,7,50,48%,32%,10,10,68,31,35,98,15,8,1%,66,6,48%,28%,97,2,10,53,54%,42%,7,14
"09.10.2022, 14:45",Aluron CMC Warta Zawiercie,Grupa Azoty ZAKSA Kędzierzyn-Koźle,3,1,73,25,39,97,15,5,-2%,75,5,49%,16%,123,4,10,60,48%,37%,8,10,68,20,30,91,16,5,-8%,82,5,36%,14%,108,9,8,53,49%,33%,10,15
"10.10.2022, 17:30",BBTS Bielsko-Biała,Cerrad Enea Czarni Radom,3,2,69,28,26,107,23,7,-11%,77,6,41%,20%,108,8,6,48,44%,31%,14,15,69,24,16,103,26,6,-14%,84,7,41%,10%,123,6,14,57,46%,30%,6,17
"09.10.2022, 20:30",PSG Stal Nysa,PGE Skra Bełchatów,2,3,69,31,25,99,16,10,-1%,85,8,28%,14%,106,10,10,48,45%,26%,11,8,77,34,29,104,19,8,-5%,83,10,42%,22%,111,8,11,59,53%,36%,10,10
"11.10.2022, 17:30",Trefl Gdańsk,Cuprum Lubin,3,0,53,24,27,73,12,10,2%,47,8,57%,19%,64,2,4,38,59%,50%,5,6,41,14,8,58,11,8,-3%,61,10,32%,9%,71,7,5,29,40%,23%,4,9
"09.10.2022, 17:30",Asseco Resovia Rzeszów,Ślepsk Malow Suwałki,3,1,75,29,45,101,19,11,-2%,67,4,47%,25%,94,6,1,50,53%,45%,14,13,58,14,8,85,18,4,-12%,82,11,41%,21%,117,7,14,53,45%,27%,1,11
"08.10.2022, 14:45",Projekt Warszawa,Barkom Każany Lwów,3,2,74,36,26,104,19,7,-1%,76,8,40%,14%,116,9,12,54,46%,28%,13,10,65,30,19,94,18,8,-6%,85,7,35%,14%,103,8,13,45,43%,23%,12,14
"16.10.2022, 17:30",GKS Katowice,Barkom Każany Lwów,3,2,72,21,22,107,23,6,-13%,85,4,43%,21%,113,13,10,58,51%,30%,8,6,65,20,20,106,21,4,-13%,84,6,40%,26%,105,10,8,51,48%,31%,10,8
"15.10.2022, 17:30",Ślepsk Malow Suwałki,Projekt Warszawa,3,1,74,32,30,107,22,9,-6%,75,10,52%,22%,110,7,5,53,48%,37%,12,9,65,21,11,100,25,10,-11%,85,9,54%,28%,112,8,12,50,44%,26%,5,9
"15.10.2022, 20:30",Cuprum Lubin,Asseco Resovia Rzeszów,0,3,50,16,8,67,21,7,-17%,67,6,32%,16%,80,7,8,39,48%,30%,4,4,50,26,24,78,11,6,0%,46,7,52%,28%,60,4,4,36,60%,46%,8,7
"15.10.2022, 14:45",PGE Skra Bełchatów,Trefl Gdańsk,3,1,65,26,29,96,15,5,-4%,71,6,42%,14%,102,9,6,52,50%,36%,8,12,62,22,23,87,16,6,-9%,81,5,53%,29%,110,10,8,50,45%,29%,6,7
"14.10.2022, 20:30",Cerrad Enea Czarni Radom,PSG Stal Nysa,1,3,71,25,28,94,14,7,-3%,82,5,47%,29%,121,12,12,57,47%,27%,7,11,69,24,36,95,13,5,-6%,80,7,33%,12%,101,6,7,52,51%,38%,12,4
"13.10.2022, 17:30",Grupa Azoty ZAKSA Kędzierzyn-Koźle,BBTS Bielsko-Biała,3,0,53,20,34,73,7,4,0%,52,7,48%,21%,69,3,2,39,56%,49%,10,5,48,14,13,63,11,7,-4%,66,4,34%,18%,87,10,10,39,44%,21%,2,8
"16.10.2022, 14:45",Jastrzębski Węgiel,Aluron CMC Warta Zawiercie,3,0,57,25,32,74,8,6,2%,49,5,51%,20%,81,5,7,44,54%,39%,7,12,43,11,15,61,12,5,-11%,66,6,33%,13%,74,3,7,31,41%,28%,7,4
"14.10.2022, 17:30",Indykpol AZS Olsztyn,LUK  Lublin,3,1,69,29,31,94,19,6,-10%,65,6,36%,20%,97,7,6,54,55%,42%,9,13,52,17,14,80,15,6,-3%,75,6,42%,16%,93,8,9,40,43%,24%,6,7
"22.10.2022, 20:30",LUK  Lublin,GKS Katowice,2,3,69,16,31,101,18,6,-9%,88,4,57%,18%,114,8,8,58,50%,36%,5,8,80,22,42,110,22,4,-12%,83,6,38%,14%,106,5,5,68,64%,54%,8,11
"22.10.2022, 17:30",Aluron CMC Warta Zawiercie,Indykpol AZS Olsztyn,2,3,69,24,19,110,25,8,-12%,79,9,44%,17%,111,5,11,55,49%,35%,6,9,75,26,25,105,26,9,-14%,85,8,43%,11%,109,10,6,55,50%,35%,11,11
"21.10.2022, 17:30",BBTS Bielsko-Biała,Jastrzębski Węgiel,0,3,39,15,13,59,9,2,-10%,61,8,34%,16%,76,3,6,32,42%,30%,5,4,61,31,38,73,12,8,0%,50,2,54%,20%,84,4,5,47,55%,45%,6,6
"21.10.2022, 20:30",PSG Stal Nysa,Grupa Azoty ZAKSA Kędzierzyn-Koźle,3,0,51,20,23,73,16,5,-10%,48,1,47%,14%,71,3,8,36,50%,35%,10,3,41,12,2,65,17,1,-24%,57,5,45%,17%,71,7,10,32,45%,21%,8,7
"24.10.2022, 17:30",Trefl Gdańsk,Cerrad Enea Czarni Radom,3,0,54,24,26,73,12,5,-4%,53,2,47%,26%,91,5,9,38,41%,26%,11,10,45,16,9,64,11,2,-9%,61,5,50%,13%,93,9,11,34,36%,15%,9,15
"22.10.2022, 14:45",PGE Skra Bełchatów,Asseco Resovia Rzeszów,2,3,78,32,38,98,19,12,-1%,84,10,35%,19%,105,4,7,56,53%,42%,10,10,74,32,35,100,16,10,3%,79,12,37%,20%,112,1,10,57,50%,41%,7,9
"23.10.2022, 17:30",Projekt Warszawa,Cuprum Lubin,3,1,66,28,35,97,15,5,-6%,63,5,41%,14%,91,4,7,46,50%,38%,15,10,62,17,13,85,22,5,-16%,82,5,42%,18%,115,7,15,50,43%,24%,7,14
"23.10.2022, 14:45",Barkom Każany Lwów,Ślepsk Malow Suwałki,1,3,60,20,14,82,18,3,-12%,80,10,42%,25%,107,9,9,50,46%,29%,7,2,66,31,37,94,14,10,-2%,64,3,31%,17%,89,5,7,47,52%,39%,9,4
"28.10.2022, 17:30",GKS Katowice,Ślepsk Malow Suwałki,3,2,76,30,34,108,17,3,-9%,80,5,46%,20%,133,13,7,63,47%,32%,10,16,65,19,24,98,18,5,-10%,91,3,53%,24%,129,10,10,53,41%,25%,7,11
"28.10.2022, 20:30",Cuprum Lubin,Barkom Każany Lwów,3,2,79,35,41,104,24,15,0%,71,4,40%,22%,109,4,6,59,54%,44%,5,8,60,21,16,90,19,4,-13%,80,15,37%,20%,99,5,5,50,50%,40%,6,14
"29.10.2022, 14:45",PGE Skra Bełchatów,Projekt Warszawa,0,3,37,12,2,53,9,2,-9%,62,10,32%,16%,64,9,7,29,45%,20%,6,2,56,26,35,73,11,10,1%,44,2,45%,27%,64,2,6,39,60%,48%,7,2
"29.10.2022, 20:30",Cerrad Enea Czarni Radom,Asseco Resovia Rzeszów,0,3,42,13,0,58,16,3,-20%,63,9,41%,22%,75,8,9,30,40%,17%,9,4,50,24,23,74,11,9,-2%,42,3,52%,33%,62,4,9,32,51%,30%,9,9
"30.10.2022, 14:45",Grupa Azoty ZAKSA Kędzierzyn-Koźle,Trefl Gdańsk,3,0,50,22,26,73,11,6,0%,44,5,47%,25%,66,2,6,33,50%,37%,11,9,44,13,3,59,15,5,-15%,62,6,46%,17%,80,9,11,33,41%,16%,6,6
"30.10.2022, 17:30",PSG Stal Nysa,Jastrzębski Węgiel,0,3,36,7,7,54,12,0,-16%,60,8,38%,21%,75,4,5,34,45%,33%,2,8,55,25,37,74,14,8,-4%,42,0,45%,16%,74,2,2,42,56%,51%,5,8
"29.10.2022, 17:30",Indykpol AZS Olsztyn,BBTS Bielsko-Biała,3,0,53,26,36,74,10,9,4%,40,1,42%,17%,56,4,2,38,67%,57%,6,3,33,6,-4,51,11,1,-13%,64,9,35%,15%,75,11,6,30,40%,17%,2,4
"30.10.2022, 20:30",LUK  Lublin,Aluron CMC Warta Zawiercie,2,3,83,29,27,103,26,9,-12%,90,7,52%,20%,121,9,14,59,48%,29%,15,7,64,26,23,100,10,7,-2%,77,9,37%,25%,100,7,15,43,43%,21%,14,15
"03.11.2022, 16:30",Aluron CMC Warta Zawiercie,GKS Katowice,3,0,59,24,33,77,18,8,-10%,53,1,52%,26%,86,2,5,46,53%,45%,5,7,44,12,11,68,15,1,-16%,59,8,37%,11%,85,5,5,38,44%,32%,5,12
"03.11.2022, 18:45",BBTS Bielsko-Biała,LUK  Lublin,1,3,70,21,35,91,16,4,-9%,82,6,46%,17%,107,4,9,55,51%,39%,11,10,76,28,42,98,16,6,-6%,75,4,42%,10%,114,3,11,61,53%,41%,9,11
"02.11.2022, 16:30",PSG Stal Nysa,Indykpol AZS Olsztyn,3,0,57,26,36,74,14,6,-6%,50,1,46%,20%,71,2,4,40,56%,47%,11,6,43,15,10,60,10,1,-8%,60,6,36%,11%,81,6,11,38,46%,25%,4,11
"02.11.2022, 18:45",Trefl Gdańsk,Jastrzębski Węgiel,0,3,39,13,3,56,14,3,-10%,63,6,41%,17%,77,6,10,33,42%,22%,3,8,54,31,35,73,10,6,1%,42,3,47%,9%,78,3,3,38,48%,41%,10,8
"02.11.2022, 21:00",Asseco Resovia Rzeszów,Grupa Azoty ZAKSA Kędzierzyn-Koźle,3,0,63,27,31,79,13,5,-2%,61,5,50%,21%,85,4,10,46,54%,37%,12,7,51,21,19,71,10,5,-1%,66,5,30%,15%,75,5,12,36,48%,25%,10,11
"01.11.2022, 21:00",Projekt Warszawa,Cerrad Enea Czarni Radom,3,0,50,16,22,76,13,5,-7%,54,3,51%,24%,78,7,5,41,52%,37%,4,11,44,12,11,67,13,3,-10%,63,5,60%,31%,92,11,4,36,39%,22%,5,16
"01.11.2022, 18:45",Barkom Każany Lwów,PGE Skra Bełchatów,3,2,66,20,23,102,18,6,-9%,87,6,52%,24%,110,6,13,52,47%,30%,8,3,82,28,36,110,23,6,-13%,84,6,44%,14%,114,9,8,63,55%,40%,13,3
"01.11.2022, 16:30",Ślepsk Malow Suwałki,Cuprum Lubin,3,1,73,31,31,89,16,7,-5%,75,7,56%,24%,106,7,12,53,50%,32%,13,6,60,22,25,87,12,7,-3%,73,7,49%,12%,99,3,13,41,41%,25%,12,2
"07.11.2022, 20:30",GKS Katowice,Cuprum Lubin,3,0,50,23,30,73,13,2,-6%,36,2,47%,16%,68,3,2,38,55%,48%,10,5,35,6,-1,54,18,2,-27%,60,2,46%,23%,79,6,10,31,39%,18%,2,3
"04.11.2022, 20:30",PGE Skra Bełchatów,Ślepsk Malow Suwałki,0,3,47,15,12,65,13,7,-4%,64,13,39%,15%,68,2,7,39,57%,44%,1,4,59,26,38,74,10,13,6%,52,7,42%,21%,62,3,1,39,62%,56%,7,2
"05.11.2022, 20:30",Cerrad Enea Czarni Radom,Barkom Każany Lwów,0,3,34,15,-4,58,9,2,-5%,61,8,27%,14%,86,9,12,28,32%,8%,4,8,56,28,30,74,13,8,2%,49,2,30%,14%,74,7,4,36,48%,33%,12,5
"06.11.2022, 14:45",Grupa Azoty ZAKSA Kędzierzyn-Koźle,Projekt Warszawa,3,1,62,20,26,95,14,2,-9%,70,6,45%,28%,99,8,8,49,49%,33%,11,18,71,19,29,94,24,6,-18%,81,2,46%,27%,120,5,11,57,47%,34%,8,10
"05.11.2022, 14:45",Jastrzębski Węgiel,Asseco Resovia Rzeszów,3,0,55,20,24,75,17,8,-9%,57,4,24%,14%,73,2,8,40,54%,41%,7,5,52,21,17,73,16,4,-10%,58,8,31%,15%,67,4,7,40,59%,43%,8,6
"07.11.2022, 17:30",Indykpol AZS Olsztyn,Trefl Gdańsk,0,3,30,11,-3,57,12,1,-12%,57,6,33%,15%,68,6,9,26,38%,16%,3,7,55,29,29,75,18,6,-10%,44,1,34%,18%,71,4,3,40,56%,46%,9,13
"06.11.2022, 17:30",LUK  Lublin,PSG Stal Nysa,3,1,75,30,31,97,20,8,-9%,81,7,41%,22%,107,9,8,56,52%,36%,11,7,63,24,24,95,14,7,-5%,77,8,36%,24%,99,6,11,48,48%,31%,8,8
"06.11.2022, 20:30",Aluron CMC Warta Zawiercie,BBTS Bielsko-Biała,3,0,51,19,27,73,10,8,-1%,50,3,56%,26%,77,5,6,39,50%,36%,4,11,46,12,13,64,13,3,-12%,63,8,34%,15%,76,8,4,37,48%,32%,6,11
"14.11.2022, 20:30",BBTS Bielsko-Biała,GKS Katowice,1,3,61,15,19,88,22,6,-17%,76,7,52%,21%,91,3,10,49,53%,39%,6,4,70,23,36,94,18,7,-10%,66,6,51%,12%,81,4,6,53,65%,53%,10,4
"13.11.2022, 20:30",PSG Stal Nysa,Aluron CMC Warta Zawiercie,0,3,41,5,11,54,13,1,-20%,65,11,32%,6%,63,2,4,32,50%,41%,8,1,58,24,38,73,8,11,6%,41,1,46%,12%,61,3,8,43,70%,52%,4,8
"11.11.2022, 17:30",Trefl Gdańsk,LUK  Lublin,3,0,53,24,34,72,9,8,4%,46,2,47%,17%,67,3,5,37,55%,43%,8,8,40,11,6,56,10,2,-10%,63,8,50%,19%,76,8,8,33,43%,22%,5,6
"12.11.2022, 14:45",Asseco Resovia Rzeszów,Indykpol AZS Olsztyn,3,1,66,30,26,98,19,8,-3%,72,13,34%,16%,89,6,2,46,51%,42%,12,10,65,23,15,93,21,13,-4%,79,8,32%,10%,102,9,12,50,49%,28%,2,10
"12.11.2022, 17:30",Projekt Warszawa,Jastrzębski Węgiel,1,3,56,12,12,74,19,7,-5%,86,6,46%,24%,110,9,10,48,43%,26%,1,7,69,33,45,96,10,6,-1%,55,7,40%,16%,86,6,1,53,61%,53%,10,21
"13.11.2022, 14:45",Barkom Każany Lwów,Grupa Azoty ZAKSA Kędzierzyn-Koźle,2,3,75,24,31,102,19,9,-5%,93,5,46%,18%,127,7,13,57,44%,29%,9,4,81,33,40,110,17,5,-9%,83,9,42%,19%,122,6,9,63,51%,39%,13,1
"10.11.2022, 20:30",Ślepsk Malow Suwałki,Cerrad Enea Czarni Radom,3,2,85,25,44,120,16,7,-5%,98,1,54%,32%,136,8,16,69,50%,33%,9,9,86,19,38,117,19,1,-12%,104,7,43%,21%,136,13,9,69,50%,34%,16,8
"13.11.2022, 17:30",Cuprum Lubin,PGE Skra Bełchatów,3,2,79,28,27,111,28,7,-14%,81,3,53%,23%,126,6,15,61,48%,31%,11,15,68,22,20,103,22,3,-16%,83,7,30%,8%,111,8,11,50,45%,27%,15,18
"19.11.2022, 20:30",GKS Katowice,PGE Skra Bełchatów,0,3,50,15,23,66,10,1,-9%,64,8,39%,15%,87,4,5,43,49%,39%,6,10,58,23,37,74,10,8,2%,56,1,44%,21%,92,4,6,45,48%,38%,5,14
"20.11.2022, 17:30",Cerrad Enea Czarni Radom,Cuprum Lubin,0,3,40,14,5,59,10,2,-8%,62,8,32%,16%,70,9,8,32,45%,21%,6,8,55,25,30,74,12,8,0%,49,2,53%,26%,73,5,6,39,53%,38%,8,10
"19.11.2022, 17:30",Grupa Azoty ZAKSA Kędzierzyn-Koźle,Ślepsk Malow Suwałki,3,0,60,15,40,74,9,2,-6%,58,3,48%,25%,83,5,3,48,57%,48%,10,6,53,10,25,69,11,3,-7%,65,2,55%,15%,94,5,10,47,50%,34%,3,5
"20.11.2022, 20:30",Jastrzębski Węgiel,Barkom Każany Lwów,3,0,62,33,38,78,10,6,0%,50,2,46%,20%,79,5,7,48,60%,45%,8,10,47,15,17,64,14,2,-15%,68,6,44%,19%,81,2,8,38,46%,34%,7,4
"20.11.2022, 14:45",Indykpol AZS Olsztyn,Projekt Warszawa,0,3,45,15,15,65,11,6,-6%,60,5,33%,20%,80,3,11,36,45%,27%,3,9,60,25,33,74,14,5,-5%,54,6,46%,29%,77,4,3,44,57%,48%,11,3
"18.11.2022, 17:30",LUK  Lublin,Asseco Resovia Rzeszów,0,3,38,5,7,58,13,3,-15%,61,4,59%,19%,77,7,7,33,42%,24%,2,5,55,23,32,74,13,4,-10%,45,3,44%,15%,69,5,2,44,63%,53%,7,9
"19.11.2022, 14:45",Aluron CMC Warta Zawiercie,Trefl Gdańsk,3,0,51,19,25,76,15,5,-7%,50,0,46%,10%,90,5,6,44,48%,36%,2,15,46,11,15,70,20,0,-22%,61,5,45%,18%,77,4,2,40,51%,44%,6,11
"18.11.2022, 20:30",PSG Stal Nysa,BBTS Bielsko-Biała,3,0,58,23,33,73,20,3,-16%,43,2,39%,16%,67,0,3,49,73%,68%,6,9,32,6,9,55,12,2,-18%,53,3,37%,13%,54,2,6,27,50%,35%,3,1
"22.11.2022, 18:30",PSG Stal Nysa,GKS Katowice,2,3,81,30,34,107,20,10,-7%,88,6,44%,20%,121,9,12,57,47%,29%,14,6,76,26,29,105,17,6,-7%,87,10,35%,14%,117,6,14,58,49%,32%,12,10
"22.11.2022, 16:15",Trefl Gdańsk,BBTS Bielsko-Biała,3,0,47,18,23,73,12,3,-9%,49,3,55%,24%,74,3,6,38,51%,39%,6,6,45,12,11,63,14,3,-12%,61,3,39%,14%,82,11,6,36,43%,23%,6,8
"22.11.2022, 21:00",Asseco Resovia Rzeszów,Aluron CMC Warta Zawiercie,1,3,70,20,26,95,24,5,-15%,89,6,34%,12%,108,6,8,54,50%,37%,11,10,72,27,33,104,15,6,0%,71,5,43%,18%,107,8,11,58,54%,36%,8,17
"23.11.2022, 21:00",Projekt Warszawa,LUK  Lublin,1,3,66,23,17,88,21,4,-15%,87,4,56%,29%,125,10,14,54,43%,24%,8,22,65,28,38,97,10,4,-1%,67,4,52%,23%,103,5,8,47,45%,33%,14,12
"24.11.2022, 18:30",Barkom Każany Lwów,Indykpol AZS Olsztyn,2,3,76,21,28,108,19,2,-12%,93,3,48%,32%,133,14,12,62,46%,27%,12,6,80,22,40,113,20,3,-12%,89,2,39%,22%,125,6,12,65,52%,37%,12,3
"24.11.2022, 16:15",Ślepsk Malow Suwałki,Jastrzębski Węgiel,0,3,42,12,11,66,9,4,-7%,60,7,50%,28%,65,6,9,36,55%,32%,2,3,61,23,34,75,15,7,-8%,57,4,63%,31%,73,6,2,45,61%,50%,9,5
"23.11.2022, 18:30",Cuprum Lubin,Grupa Azoty ZAKSA Kędzierzyn-Koźle,0,3,35,8,-10,51,20,3,-27%,63,3,55%,34%,88,6,16,28,31%,6%,4,6,48,28,28,73,10,3,-8%,31,3,35%,19%,53,3,4,29,54%,41%,16,11
"23.11.2022, 16:15",PGE Skra Bełchatów,Cerrad Enea Czarni Radom,3,0,54,29,31,73,12,9,8%,39,3,46%,17%,66,4,4,39,59%,46%,6,4,34,11,-1,54,15,3,-20%,61,9,42%,19%,60,5,6,27,45%,26%,4,3
"19.10.2022, 17:30",GKS Katowice,Cerrad Enea Czarni Radom,0,3,45,14,10,71,15,2,-12%,65,4,40%,15%,81,9,7,37,45%,25%,6,6,53,23,24,79,14,4,-7%,56,2,37%,14%,83,7,6,42,50%,34%,7,12
"26.11.2022, 14:45",PGE Skra Bełchatów,Grupa Azoty ZAKSA Kędzierzyn-Koźle,2,3,73,26,33,106,18,7,-4%,77,6,36%,14%,101,7,9,57,56%,40%,9,10,72,24,26,99,22,6,-9%,88,7,51%,27%,118,8,9,57,48%,33%,9,9
"26.11.2022, 17:30",Jastrzębski Węgiel,Cuprum Lubin,1,3,55,17,7,90,24,3,-18%,69,3,46%,18%,89,9,12,45,50%,26%,7,7,63,21,19,96,27,3,-20%,66,3,50%,13%,88,7,7,48,54%,38%,12,3
"28.11.2022, 17:30",Indykpol AZS Olsztyn,Ślepsk Malow Suwałki,2,3,84,26,38,112,29,6,-16%,92,3,55%,22%,135,6,8,74,54%,44%,4,10,73,21,40,111,19,3,-11%,83,6,43%,19%,108,4,4,62,57%,50%,8,10
"26.11.2022, 20:30",LUK  Lublin,Barkom Każany Lwów,3,2,71,32,34,112,11,7,0%,78,5,37%,11%,125,8,13,53,42%,25%,11,20,82,24,26,104,26,5,-16%,101,7,39%,17%,143,12,11,64,44%,28%,13,16
"27.11.2022, 14:45",Aluron CMC Warta Zawiercie,Projekt Warszawa,3,0,49,20,27,73,9,5,2%,44,2,56%,22%,66,4,7,38,57%,40%,6,5,51,11,15,66,22,2,-28%,64,5,39%,18%,68,3,6,42,61%,48%,7,6
"27.11.2022, 17:30",BBTS Bielsko-Biała,Asseco Resovia Rzeszów,0,3,38,10,7,57,17,2,-19%,61,4,40%,21%,88,5,5,32,36%,25%,4,6,51,28,27,74,13,4,-8%,40,2,52%,22%,77,5,4,42,54%,42%,5,8
"25.11.2022, 20:30",PSG Stal Nysa,Trefl Gdańsk,1,3,60,16,19,82,15,3,-4%,82,8,39%,12%,109,10,8,49,44%,28%,8,2,70,27,40,96,14,8,-3%,67,3,35%,19%,85,5,8,54,63%,48%,8,9
"05.12.2022, 17:30",Trefl Gdańsk,GKS Katowice,3,1,76,25,36,97,24,7,-12%,83,2,49%,12%,111,5,9,60,54%,41%,9,14,60,22,25,97,14,2,-3%,73,7,36%,16%,104,5,9,49,47%,33%,9,15
"01.12.2022, 17:30",Asseco Resovia Rzeszów,PSG Stal Nysa,3,0,53,28,35,74,10,6,0%,37,2,35%,16%,66,3,3,36,54%,45%,11,8,40,8,3,55,17,2,-23%,64,6,26%,15%,83,3,11,35,42%,25%,3,6
"02.12.2022, 20:30",Projekt Warszawa,BBTS Bielsko-Biała,3,0,61,30,36,73,14,7,-1%,44,4,52%,22%,73,3,4,47,64%,54%,7,15,32,9,4,53,9,4,-5%,59,7,45%,13%,68,5,7,24,35%,17%,4,5
"04.12.2022, 17:30",Barkom Każany Lwów,Aluron CMC Warta Zawiercie,0,3,46,12,20,65,14,2,-13%,61,3,42%,13%,82,8,1,37,45%,34%,7,2,48,15,24,73,12,3,-9%,51,2,43%,13%,86,3,7,44,51%,39%,1,5
"03.12.2022, 17:30",Ślepsk Malow Suwałki,LUK  Lublin,2,3,73,25,36,101,12,7,0%,93,7,49%,10%,124,8,10,59,47%,33%,7,5,86,35,48,106,13,7,0%,89,7,41%,17%,129,11,7,69,53%,39%,10,12
"03.12.2022, 20:30",Indykpol AZS Olsztyn,Cuprum Lubin,3,0,48,16,23,74,12,2,-13%,46,3,52%,32%,68,5,5,36,52%,38%,10,6,43,9,6,63,17,3,-20%,62,2,54%,30%,76,8,10,35,46%,22%,5,3
"03.12.2022, 14:45",PGE Skra Bełchatów,Jastrzębski Węgiel,3,2,79,27,28,103,20,4,-5%,91,12,31%,9%,124,7,12,62,50%,34%,13,11,78,28,36,107,16,12,-1%,83,4,49%,20%,107,9,13,54,50%,29%,12,12
